SocialMumID,SocialDadID,SocialMumCertain,SocialDadCertain,BroodRef,BroodName,Situation,DVDRef,DVDNumber,Filename,Age
32,4229,TRUE,TRUE,464,D027,4,55,40055,2004\40055.xlsx,7
32,4229,TRUE,TRUE,464,D027,4,81,40081,2004\40081.xlsx,11
32,4229,TRUE,TRUE,560,D123,4,313,40313,2004\40313.xlsx,7
32,4229,TRUE,TRUE,560,D123,4,338,40338,2004\40338.xlsx,11
41,517,TRUE,TRUE,522,D085,4,238,40238,2004\40238.xlsx,11
45,166,TRUE,TRUE,455,D018,4,32,40032,2004\40032.xlsx,7
45,166,TRUE,TRUE,523,D086,4,200,40200,2004\40200.xlsx,7
45,166,TRUE,TRUE,523,D086,4,235,40235,2004\40235.xlsx,11
45,166,TRUE,TRUE,597,D160,4,434,40434,2004\40434.xlsx,7
45,166,TRUE,TRUE,597,D160,4,452,40452,2004\40452.xlsx,11
45,166,TRUE,TRUE,62,E048,4,732,50174,2005\50174.xlsx,7
45,166,TRUE,TRUE,754,F006,4,1575,60004,2006\60004.xlsx,7
45,166,TRUE,TRUE,754,F006,4,1586,60015,2006\60015.xlsx,11
45,166,TRUE,TRUE,825,F077,4,1659,60088,2006\60088.xlsx,7
45,166,TRUE,TRUE,825,F077,4,1671,60100,2006\60100.xlsx,11
45,166,TRUE,TRUE,863,F115,4,1739,60168,2006\60168.xlsx,7
45,166,TRUE,TRUE,863,F115,4,1750,60179,2006\60179.xlsx,11
76,287,TRUE,TRUE,496,D059,4,113,40113,2004\40113.xlsx,7
76,287,TRUE,TRUE,496,D059,4,130,40130,2004\40130.xlsx,11
76,287,TRUE,TRUE,587,D150,4,396,40396,2004\40396.xlsx,7
76,287,TRUE,TRUE,55,E041,4,716,50158,2005\50158.xlsx,7
76,287,TRUE,TRUE,55,E041,4,755,50197,2005\50197.xlsx,11
122,132,TRUE,TRUE,526,D089,4,212,40212,2004\40212.xlsx,7
122,132,TRUE,TRUE,526,D089,4,245,40245,2004\40245.xlsx,11
122,132,TRUE,TRUE,5,D208,4,539,40539,2004\40539.xlsx,7
122,132,TRUE,TRUE,5,D208,4,553,40553,2004\40553.xlsx,11
122,1448,TRUE,TRUE,94,E080,4,813,50255,2005\50255.xlsx,7
122,1448,TRUE,TRUE,94,E080,4,854,50296,2005\50296.xlsx,11
122,1448,TRUE,TRUE,658,E157,4,1264,50707,2005\50707.xlsx,7
122,1448,TRUE,TRUE,658,E157,4,1308,50751,2005\50751.xlsx,11
206,663,TRUE,TRUE,598,D161,4,440,40440,2004\40440.xlsx,7
206,663,TRUE,TRUE,598,D161,4,458,40458,2004\40458.xlsx,11
206,2018,TRUE,TRUE,95,E081,4,817,50259,2005\50259.xlsx,7
206,2018,TRUE,TRUE,95,E081,4,852,50294,2005\50294.xlsx,11
206,2906,TRUE,TRUE,789,F041,4,1606,60035,2006\60035.xlsx,7
206,2661,TRUE,TRUE,839,F091,4,1694,60123,2006\60123.xlsx,7
206,2661,TRUE,TRUE,839,F091,4,1699,60128,2006\60128.xlsx,11
206,2661,TRUE,TRUE,874,F126,4,1758,60187,2006\60187.xlsx,7
256,132,TRUE,TRUE,493,D056,4,109,40109,2004\40109.xlsx,7
256,132,TRUE,TRUE,493,D056,4,126,40126,2004\40126.xlsx,11
256,132,TRUE,TRUE,579,D142,4,360,40360,2004\40360.xlsx,7
256,132,TRUE,TRUE,579,D142,4,381,40381,2004\40381.xlsx,11
256,1448,TRUE,TRUE,91,E077,4,800,50242,2005\50242.xlsx,7
256,1448,TRUE,TRUE,91,E077,4,843,50285,2005\50285.xlsx,11
256,650,TRUE,TRUE,649,E148,4,1213,50656,2005\50656.xlsx,7
256,650,TRUE,TRUE,649,E148,4,1257,50700,2005\50700.xlsx,11
256,650,TRUE,TRUE,806,F058,4,1642,60071,2006\60071.xlsx,7
256,650,TRUE,TRUE,806,F058,4,1655,60084,2006\60084.xlsx,11
256,650,TRUE,TRUE,852,F104,4,1727,60156,2006\60156.xlsx,7
256,650,TRUE,TRUE,852,F104,4,1733,60162,2006\60162.xlsx,11
284,456,TRUE,TRUE,519,D082,4,197,40197,2004\40197.xlsx,7
284,456,TRUE,TRUE,576,D139,4,356,40356,2004\40356.xlsx,7
284,456,TRUE,TRUE,576,D139,4,375,40375,2004\40375.xlsx,11
309,4422,TRUE,TRUE,551,D114,4,290,40290,2004\40290.xlsx,7
309,4422,TRUE,TRUE,4,D207,4,544,40544,2004\40544.xlsx,7
309,993,TRUE,TRUE,52,E038,4,712,50154,2005\50154.xlsx,7
309,993,TRUE,TRUE,52,E038,4,751,50193,2005\50193.xlsx,11
309,993,TRUE,TRUE,140,E126,4,1128,50571,2005\50571.xlsx,7
309,993,TRUE,TRUE,140,E126,4,1166,50609,2005\50609.xlsx,11
338,466,TRUE,TRUE,114,E100,4,1008,50450,2005\50450.xlsx,7
338,466,TRUE,TRUE,114,E100,4,1061,50504,2005\50504.xlsx,11
338,466,TRUE,TRUE,788,F040,4,1603,60032,2006\60032.xlsx,7
338,466,TRUE,TRUE,788,F040,4,1611,60040,2006\60040.xlsx,10
342,421,TRUE,TRUE,554,D117,4,303,40303,2004\40303.xlsx,7
342,421,TRUE,TRUE,554,D117,4,333,40333,2004\40333.xlsx,11
342,421,TRUE,TRUE,627,D190,4,495,40495,2004\40495.xlsx,7
342,421,TRUE,TRUE,627,D190,4,517,40517,2004\40517.xlsx,11
